idarea;idescuela;nombre;descripcion;status
CD;1;COMOPORTAMIENTO Y DISCIPLINA;COMOPORTAMIENTO Y DISCIPLINA;1
MAT;1;MATEMATICAS;MATEMATICAS;1
HUM;1;HUMANIDADES;HUMANIDADES;1
CNAT;1;CIENCIAS NATURALES;CIENCIAS NATURALES;1
CSOC;1;CIENCIAS SOCIALES;CIENCIAS SOCIALES;1
REL;1;EDUCACION RELIGIOSA;EDUCACION RELIGIOSA;1
EVA;1;ETICA Y VALORES;ETICA Y VALORES;1
ART;1;EDUCACION ARTISTICA;EDUCACION ARTISTICA;1
EFI;1;EDUCACION FISICA;EDUCACION FISICA;1
TECNO;1;TECNOLOGIA E INFORMATICA;TECNOLOGIA E INFORMATICA;1
FIL;1;FILOSOFIA;FILOSOFIA;1
ECO;1;ECONOMIA;ECONOMIA;1
ING;1;INGLES;INGLES;1
DIM;1;DIMENSIONES;DIMENSIONES;1
