idasignatura;idescuela;idarea;nombre;descripcion;hteoricas;hpracticas;numcreditos;status
ACD;1;CD;COMPORTAMIENTO Y DISCIPLINA;COMPORTAMIENTO Y DISCIPLINA;0;0;0;1
AMAT;1;MAT;MATEMATICAS;MATEMATICAS;4;0;4;1
AEST;1;MAT;ESTADISTICA;ESTADISTICA;1;0;1;1
AGEOM;1;MAT;GEOMETRIA;GEOMETRIA;1;0;1;1
AESP;1;HUM;LENGUA CASTELLANA;LENGUA CASTELLANA;4;0;4;1
ANAT;1;CNAT;CIENCIAS NATURALES;CIENCIAS NATURALES;4;0;4;1
AQUÍ;1;CNAT;QUIMICA;QUIMICA;2;0;2;1
AFIS;1;CNAT;FISICA;FISICA;2;0;2;1
ASOC;1;CSOC;CIENCIAS SOCIALES;CIENCIAS SOCIALES;4;0;4;1
AGEO;1;CSOC;GEOGRAFIA;GEOGRAFIA;1;0;1;1
AHIS;1;CSOC;HISTORIA;HISTORIA;1;0;1;1
ADEM;1;CSOC;DEMOCRACIA Y CONSTITUCION;DEMOCRACIA Y CONSTITUCION;1;0;1;1
AART;1;ART;EDUCACION ARTISTICA;EDUCACION ARTISTICA;1;1;1;1
AEVA;1;EVA;ETICA Y VALORES;ETICA Y VALORES;2;0;1;1
AREL;1;REL;EDUCACION RELIGIOSA;EDUCACION RELIGIOSA;2;0;1;1
AEFI;1;EFI;EDUCACION FISICA;EDUCACION FISICA;1;1;1;1
AINF;1;TECNO;TECNOLOGIA E INFORMATICA;TECNOLOGIA E INFORMATICA;1;1;1;1
AFIL;1;FIL;FILOSOFIA;FILOSOFIA;2;0;1;1
AECO;1;ECO;ECONOMIA;ECONOMIA;2;0;1;1
AING;1;ING;INGLES;INGLES;2;0;2;1
ADIMA;1;DIM;DIMENSION AFECTIVA;DIMENSION AFECTIVA;4;0;4;1
ADIMC;1;DIM;DIMENSION COGNITIVA;DIMENSION COGNITIVA;4;0;4;1
ADIMCP;1;DIM;DIMENSION CORPORAL;DIMENSION CORPORAL;4;0;4;1
ADIMEV;1;DIM;DIMENSION ETICA Y VALORES;DIMENSION ETICA Y VALORES;4;0;4;1
ADIMRL;1;DIM;DIMENSION RELIGIOSA;DIMENSION RELIGIOSA;4;0;4;1
ADIMCM;1;DIM;DIMENSION COMUNICATIVA;DIMENSION COMUNICATIVA;4;0;4;1
