idgrupo;idescuela;idsede;idprograma;numgrado;numgrupo;status
0A0000;1;0101;0000;0;A;1
0B0000;1;0101;0000;0;B;1
1A0001;1;0101;0001;1;A;1
1B0001;1;0101;0001;1;B;1
2A0001;1;0101;0001;2;A;1
2B0001;1;0101;0001;2;B;1
3A0001;1;0101;0001;3;A;1
3B0001;1;0101;0001;3;B;1
4A0001;1;0101;0001;4;A;1
4B0001;1;0101;0001;4;B;1
5A0001;1;0101;0001;5;A;1
5B0001;1;0101;0001;5;B;1
6A0002;1;0101;0002;6;A;1
6B0002;1;0101;0002;6;B;1
7A0002;1;0101;0002;7;A;1
7B0002;1;0101;0002;7;B;1
8A0002;1;0101;0002;8;A;1
8B0002;1;0101;0002;8;B;1
9A0002;1;0101;0002;9;A;1
9B0002;1;0101;0002;9;B;1
10A0002;1;0101;0002;10;A;1
10B0002;1;0101;0002;10;B;1
11A0002;1;0101;0002;11;A;1
11B0002;1;0101;0002;11;B;1
